Driver,Lap,LapTime,Sector1,Sector2,Sector3,MaxSpeed,AvgSpeed,MinSpeed,MaxThrottle,AvgThrottle,MinThrottle,MaxBrake,AvgBrake,BrakingSamples,MinGear,MaxGear,MostUsedGear,GearChanges,MaxRPM,AvgRPM,MinRPM,DRSUsage,TelemetrySamples
NOR,14,89.417,27.752,29.105,32.56,346.0,229.52608612530906,66.0,100.0,67.40062944749533,0.0,True,0.18248175182481752,125,2,8,8,46,12184.0,10515.576655306606,5824.0,16.4963503649635,685
NOR,15,103.84,47.124,28.866,27.85,326.0,201.01577858828333,0.0,100.0,66.72589968375007,0.0,True,0.16604244694132334,133,1,8,8,51,12334.0,9989.471496868078,4077.0,0.0,801
NOR,16,84.154,27.403,28.918,27.833,333.0,247.01761381562548,71.0,100.0,72.91803943941737,0.0,True,0.13137557959814528,85,2,8,8,43,12222.0,10811.63105870556,6325.0,0.0,647
NOR,17,85.585,27.663,29.214,28.708,331.0,242.7733717479506,70.0,99.0,67.73984203791396,0.0,True,0.15582450832072617,103,2,8,8,45,12109.0,10746.659941850385,6426.0,4.992435703479576,661
NOR,18,83.92,27.388,28.784,27.748,345.0,248.0241146979647,67.0,99.0,71.34871664738583,0.0,True,0.16185897435897437,101,2,8,8,42,12239.0,10783.954755379147,5925.0,8.333333333333332,624
NOR,19,84.152,27.493,28.937,27.722,335.0,245.5367873428629,66.0,99.0,72.25535894355434,0.0,True,0.14353312302839116,91,2,8,8,41,11843.0,10665.64181009543,6005.0,0.0,634
NOR,20,83.882,27.463,28.773,27.646,337.0,245.23035472833982,69.0,100.0,71.81703677997194,0.0,True,0.13679245283018868,87,2,8,8,41,12178.0,10730.977602260104,6078.0,0.0,636
PIA,1,87.623,,30.021,28.254,329.0,224.78276666787164,0.0,99.0,73.07890949410638,0.0,True,0.129080118694362,87,1,8,8,38,12290.0,10325.107081549786,3701.0,0.0,674
PIA,2,85.116,27.751,29.311,28.054,329.0,241.6865683486898,68.0,100.0,73.23202432225527,0.0,True,0.14925373134328357,100,2,8,8,35,11794.0,10512.034653148623,5983.0,0.0,670
PIA,3,85.261,27.67,29.271,28.32,331.0,242.463147317931,69.0,100.0,74.95609231006591,0.0,True,0.12808641975308643,83,2,8,8,32,11858.0,10521.55693203189,6228.0,0.0,648
PIA,4,84.695,27.672,28.825,28.198,328.0,244.24641947891257,71.0,100.0,74.45685710310835,0.0,True,0.13190184049079753,86,2,8,8,31,11824.0,10503.806295603465,6276.0,0.0,652
PIA,5,84.66,27.701999999999998,28.906,28.052,330.0,244.49531981807755,70.0,100.0,75.28036111282793,0.0,True,0.12291350531107739,81,2,8,8,33,11873.0,10494.530569679835,6228.0,0.0,659
PIA,6,84.603,27.799,28.807,27.997,329.0,243.99838682752875,70.0,100.0,75.39700390716422,0.0,True,0.13567073170731708,89,2,8,8,33,11714.0,10479.803582159133,6092.0,0.0,656
